term,estimate,std.error,statistic,p.value
(Intercept),0.2180416571819605,0.014530944012222186,15.005333239090492,2.3908007962208484e-12
count,-1.880352490109162e-7,1.3058368249437283e-6,-0.1439959766941165,0.8869447102461343
